,SecId,LegalName,Name,IndustryName,SectorName,Ticker,ClosePrice,MarketCap,TenforeId,Universe,ExchangeId
2470,0P000008K9,Bank First Corp,Bank First Corp,Banks - Regional,Financial Services,BFC,79.55,825966470,126.1.BFC,E0EXG$XNAS,EX$$$$XNAS
2471,0P000000PF,Bank of Marin Bancorp,Bank of Marin Bancorp,Banks - Regional,Financial Services,BMRC,17.19,277434927,126.1.BMRC,E0EXG$XNAS,EX$$$$XNAS
2472,0P000006RK,Bank of the James Financial Group Inc,Bank of the James Financial Group Inc,Banks - Regional,Financial Services,BOTJ,9.8163,44598768,126.1.BOTJ,E0EXG$XNAS,EX$$$$XNAS
2473,0P000000PL,Bank OZK,Bank OZK,Banks - Regional,Financial Services,OZK,36.22,4097794323,126.1.OZK,E0EXG$XNAS,EX$$$$XNAS
2474,0P0001NOM7,Bank OZK PRF PERPETUAL USD - Ser A,Bank OZK PRF PERPETUAL USD - Ser A,Banks - Regional,Financial Services,OZKAP,14.76,,126.1.OZKAP,E0EXG$XNAS,EX$$$$XNAS
2475,0P0001EI40,Bank7 Corp,Bank7 Corp,Banks - Regional,Financial Services,BSVN,20.57,188142319,126.1.BSVN,E0EXG$XNAS,EX$$$$XNAS
2476,0P000000PO,BankFinancial Corp,BankFinancial Corp,Banks - Regional,Financial Services,BFIN,8.59,106474039,126.1.BFIN,E0EXG$XNAS,EX$$$$XNAS
2477,0P0000COHG,Bankwell Financial Group Inc,Bankwell Financial Group Inc,Banks - Regional,Financial Services,BWFG,24.02,188355616,126.1.BWFG,E0EXG$XNAS,EX$$$$XNAS
2478,0P000000PR,Banner Corp,Banner Corp,Banks - Regional,Financial Services,BANR,42.23,1449399047,126.1.BANR,E0EXG$XNAS,EX$$$$XNAS
2479,0P0001NO7A,Bannix Acquisition Corp,Bannix Acquisition Corp,Shell Companies,Financial Services,BNIX,10.7222,58581951,126.1.BNIX,E0EXG$XNAS,EX$$$$XNAS
2480,0P0001LNYA,宝盛传媒集团控股有限公司 Ordinary Shares,Baosheng Media Group Holdings Ltd Ordinary Shares,Advertising Agencies,Communication Services,BAOS,4.25,6559931,126.1.BAOS,E0EXG$XNAS,EX$$$$XNAS
2481,0P000160J9,上海宝尊电子商务有限公司 ADR,Baozun Inc ADR,Internet Retail,Consumer Cyclical,BZUN,2.88,166529261,126.1.BZUN,E0EXG$XNAS,EX$$$$XNAS
2482,0P0000TR68,Barfresh Food Group Inc,Barfresh Food Group Inc,Beverages - Non-Alcoholic,Consumer Defensive,BRFH,1.73,22555650,126.1.BRFH,E0EXG$XNAS,EX$$$$XNAS
2483,0P000000Q4,Barrett Business Services Inc,Barrett Business Services Inc,Staffing & Employment Services,Industrials,BBSI,88.56,595977272,126.1.BBSI,E0EXG$XNAS,EX$$$$XNAS
2484,0P000000Q9,Bassett Furniture Industries Inc,Bassett Furniture Industries Inc,"Furnishings, Fixtures & Appliances",Consumer Cyclical,BSET,14.94,131770680,126.1.BSET,E0EXG$XNAS,EX$$$$XNAS
2485,0P0001IRF8,Baudax Bio Inc Ordinary Shares,Baudax Bio Inc Ordinary Shares,Biotechnology,Healthcare,BXRX,0.1666,1528944,126.1.BXRX,E0EXG$XNAS,EX$$$$XNAS
2486,0P0000COEH,BayCom Corp,BayCom Corp,Banks - Regional,Financial Services,BCML,19.88,235167259,126.1.BCML,E0EXG$XNAS,EX$$$$XNAS
2487,0P00016FTP,BayFirst Financial Corp,BayFirst Financial Corp,Banks - Regional,Financial Services,BAFN,9.55,39191614,126.1.BAFN,E0EXG$XNAS,EX$$$$XNAS
2488,0P0000023G,BBQ Holdings Inc,BBQ Holdings Inc,Restaurants,Consumer Cyclical,BBQ,17.24,185503348,,E0EXG$XNAS,EX$$$$XNAS
2489,0P000000N4,BCB Bancorp Inc,BCB Bancorp Inc,Banks - Regional,Financial Services,BCBP,10.05,169322400,126.1.BCBP,E0EXG$XNAS,EX$$$$XNAS
2490,0P000000QK,Beacon Roofing Supply Inc Class A,Beacon Roofing Supply Inc Class A,Industrial Distribution,Industrials,BECN,69.72,4402224525,126.1.BECN,E0EXG$XNAS,EX$$$$XNAS
2491,0P0000KYEB,Beam Global,Beam Global,Solar,Technology,BEEM,5.7,81014322,126.1.BEEM,E0EXG$XNAS,EX$$$$XNAS
2492,0P0001J5MR,Beam Therapeutics Inc,Beam Therapeutics Inc,Biotechnology,Healthcare,BEAM,19.59,1551518224,126.1.BEAM,E0EXG$XNAS,EX$$$$XNAS
2493,0P0001PTXC,Beamr Imaging Ltd,Beamr Imaging Ltd,Software - Application,Technology,BMR,1.22,15717133,126.1.BMR,E0EXG$XNAS,EX$$$$XNAS
2494,0P000000QO,Beasley Broadcast Group Inc Class A,Beasley Broadcast Group Inc Class A,Broadcasting,Communication Services,BBGI,0.75,22469799,126.1.BBGI,E0EXG$XNAS,EX$$$$XNAS
2495,0P00017BOR,百济神州有限公司 ADR,BeiGene Ltd ADR,Biotechnology,Healthcare,BGNE,165.85,18159310943,126.1.BGNE,E0EXG$XNAS,EX$$$$XNAS
2496,0P0000063Y,Bel Fuse Inc Class A,Bel Fuse Inc Class A,Electronic Components,Technology,BELFA,46.45,620514293,126.1.BELFA,E0EXG$XNAS,EX$$$$XNAS
2497,0P000000QU,Bel Fuse Inc Class B,Bel Fuse Inc Class B,Electronic Components,Technology,BELFB,48.98,621790825,126.1.BELFB,E0EXG$XNAS,EX$$$$XNAS
2498,0P0001OWAR,Belite Bio Inc ADR,Belite Bio Inc ADR,Biotechnology,Healthcare,BLTE,38.3,1042880466,126.1.BLTE,E0EXG$XNAS,EX$$$$XNAS
2499,0P0001QN2J,Bellevue Life Sciences Acquisition Corp Ordinary Shares,Bellevue Life Sciences Acquisition Corp Ordinary Shares,Shell Companies,Financial Services,BLAC,10.45,94624750,126.1.BLAC,E0EXG$XNAS,EX$$$$XNAS
2500,0P0001P4JV,Bellevue Life Sciences Acquisition Corp Units (1 Ord & 1 War),Bellevue Life Sciences Acquisition Corp Units (1 Ord & 1 War),Shell Companies,Financial Services,BLACU,10.62,,126.1.BLACU,E0EXG$XNAS,EX$$$$XNAS
2501,0P0001R5M6,Beneficient Class A,Beneficient Class A,Asset Management,Financial Services,BENF,0.6322,164545990,126.1.BENF,E0EXG$XNAS,EX$$$$XNAS
2502,0P0000WI2X,Benitec Biopharma Inc,Benitec Biopharma Inc,Biotechnology,Healthcare,BNTC,3.44,8763172,126.1.BNTC,E0EXG$XNAS,EX$$$$XNAS
2503,0P0001KQHN,Bentley Systems Inc Ordinary Shares - Class B,Bentley Systems Inc Ordinary Shares - Class B,Software - Application,Technology,BSY,48.72,14370756966,126.1.BSY,E0EXG$XNAS,EX$$$$XNAS
2504,0P0001BCRO,Berry Corp (bry),Berry Corp (bry),Oil & Gas E&P,Energy,BRY,8.38,634041409,126.1.BRY,E0EXG$XNAS,EX$$$$XNAS
2505,0P0001RE1R,Better Home & Finance Holding Co Ordinary Shares - Class A,Better Home & Finance Holding Co Ordinary Shares - Class A,Mortgage Finance,Financial Services,BETR,0.4297,316940461,126.1.BETR,E0EXG$XNAS,EX$$$$XNAS
2506,0P0001NOD8,Better Therapeutics Inc,Better Therapeutics Inc,Biotechnology,Healthcare,BTTX,0.1907,7721990,126.1.BTTX,E0EXG$XNAS,EX$$$$XNAS
2507,0P0001JG4J,Betterware de Mexico SAPI de CV Ordinary Shares,Betterware de Mexico SAPI de CV Ordinary Shares,Specialty Retail,Consumer Cyclical,BWMX,17.07,641844591,126.1.BWMX,E0EXG$XNAS,EX$$$$XNAS
2508,0P00017XFT,Beyond Air Inc,Beyond Air Inc,Medical Devices,Healthcare,XAIR,2.21,70082010,126.1.XAIR,E0EXG$XNAS,EX$$$$XNAS
2509,0P0001HBTV,Beyond Meat Inc,Beyond Meat Inc,Packaged Foods,Consumer Defensive,BYND,5.68,365711292,126.1.BYND,E0EXG$XNAS,EX$$$$XNAS
2510,0P00019WKC,BeyondSpring Inc,BeyondSpring Inc,Biotechnology,Healthcare,BYSI,1.06,41259532,126.1.BYSI,E0EXG$XNAS,EX$$$$XNAS
2511,0P0000832W,BFC Capital Trust II,BFC Capital Trust II,Banks - Regional,Financial Services,BANFP,26,,126.1.BANFP,E0EXG$XNAS,EX$$$$XNAS
2512,0P00000635,BGC Group Inc Ordinary Shares Class A,BGC Group Inc Ordinary Shares Class A,Capital Markets,Financial Services,BGC,5.93,2943811914,126.1.BGC,E0EXG$XNAS,EX$$$$XNAS
2513,0P0001HH59,Bicycle Therapeutics PLC ADR,Bicycle Therapeutics PLC ADR,Biotechnology,Healthcare,BCYC,15.25,560268092,126.1.BCYC,E0EXG$XNAS,EX$$$$XNAS
2514,0P000000RP,Big 5 Sporting Goods Corp,Big 5 Sporting Goods Corp,Specialty Retail,Consumer Cyclical,BGFV,7.3,163899541,126.1.BGFV,E0EXG$XNAS,EX$$$$XNAS
2515,0P0001KFJR,BigCommerce Holdings Inc Ordinary Shares Series 1,BigCommerce Holdings Inc Ordinary Shares Series 1,Software - Application,Technology,BIGC,8.96,673326367,126.1.BIGC,E0EXG$XNAS,EX$$$$XNAS
2516,0P0001CXB3,哔哩哔哩有限公司 ADR,Bilibili Inc ADR,Electronic Gaming & Multimedia,Communication Services,BILI,13.25,5371993003,126.1.BILI,E0EXG$XNAS,EX$$$$XNAS
